,song,artist,peak,seasons,id,features
79,Poke It Out,Wale Featuring J. Cole,79,{'fall'},1IeCWMwZs4rCmwPOjZYWN7,"{'danceability': 0.778, 'energy': 0.934, 'speechiness': 0.321, 'instrumentalness': 0, 'tempo': 98.97, 'valence': 0.803}"
80,Praise God,Kanye West,20,{'fall'},0WSEq9Ko4kFPt8yo3ICd6T,"{'danceability': 0.798, 'energy': 0.545, 'speechiness': 0.168, 'instrumentalness': 9.48e-05, 'tempo': 118.029, 'valence': 0.212}"
81,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",51,{'fall'},4gzsuuZypVbxs0Af1LSZyB,"{'danceability': 0.639, 'energy': 0.703, 'speechiness': 0.0794, 'instrumentalness': 1.78e-06, 'tempo': 169.888, 'valence': 0.138}"
82,Freedom Was A Highway,Jimmie Allen & Brad Paisley,82,{'fall'},2WKCmiIFFxjWb9Q0JZWgaQ,"{'danceability': 0.651, 'energy': 0.379, 'speechiness': 0.0288, 'instrumentalness': 0.142, 'tempo': 95.996, 'valence': 0.653}"
83,For Tonight,Giveon,83,{'fall'},61Emqg95O9zo1GNOcyxq4Y,"{'danceability': 0.442, 'energy': 0.517, 'speechiness': 0.0548, 'instrumentalness': 0, 'tempo': 79.867, 'valence': 0.2}"
84,Thot Shit,Megan Thee Stallion,16,{'summer'},5zNW5ARjYhJQJz1AChP33n,"{'danceability': 0.95, 'energy': 0.693, 'speechiness': 0.0898, 'instrumentalness': 0, 'tempo': 130.02, 'valence': 0.891}"
85,Like A Lady,Lady A,85,{'fall'},5SulrwmIUDbU5TQQtoYHhL,"{'danceability': 0.637, 'energy': 0.932, 'speechiness': 0.0354, 'instrumentalness': 3.23e-06, 'tempo': 95.511, 'valence': 0.771}"
86,Get Into It (Yuh),Doja Cat,68,{'fall'},0W6I02J9xcqK8MtSeosEXb,"{'danceability': 0.912, 'energy': 0.655, 'speechiness': 0.162, 'instrumentalness': 3.39e-05, 'tempo': 91.942, 'valence': 0.793}"
87,Scorpio,Moneybagg Yo,87,{'fall'},0BFGDkrXAneskCJdudSCro,"{'danceability': 0.736, 'energy': 0.532, 'speechiness': 0.265, 'instrumentalness': 8.86e-06, 'tempo': 84.983, 'valence': 0.273}"
88,Big Energy,Latto,88,{'fall'},6Zu3aw7FfjAF9WA0fA81Oq,"{'danceability': 0.935, 'energy': 0.807, 'speechiness': 0.114, 'instrumentalness': 0, 'tempo': 106.017, 'valence': 0.813}"
89,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,89,{'fall'},1yRke3PmsyFrYlFZOAkABk,"{'danceability': 0.57, 'energy': 0.618, 'speechiness': 0.0445, 'instrumentalness': 0, 'tempo': 138.034, 'valence': 0.286}"
90,Money,Lisa,90,{'fall'},7hU3IHwjX150XLoTVmjD0q,"{'danceability': 0.831, 'energy': 0.554, 'speechiness': 0.218, 'instrumentalness': 6.12e-05, 'tempo': 140.026, 'valence': 0.396}"
91,No Friends In The Industry,Drake,11,{'fall'},2tUL6dZf1mywCj5WvCPZw6,"{'danceability': 0.84, 'energy': 0.744, 'speechiness': 0.113, 'instrumentalness': 0, 'tempo': 83.737, 'valence': 0.171}"
92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92,{'fall'},6HIIuuUIEzH1meVdGbMXyf,"{'danceability': 0.436, 'energy': 0.4, 'speechiness': 0.11, 'instrumentalness': 0, 'tempo': 75.576, 'valence': 0.568}"
93,Who's In Your Head,Jonas Brothers,93,{'fall'},5nhW8I46uDE5sc5ouEbzao,"{'danceability': 0.704, 'energy': 0.778, 'speechiness': 0.0971, 'instrumentalness': 0, 'tempo': 101.025, 'valence': 0.821}"
94,In The Bible,Drake Featuring Lil Durk & Giveon,7,{'fall'},4QE4CdFfJ41dyKmkjNiq7G,"{'danceability': 0.671, 'energy': 0.715, 'speechiness': 0.0532, 'instrumentalness': 0, 'tempo': 162.884, 'valence': 0.685}"
95,Just About Over You,Priscilla Block,95,{'fall'},4Ec0q0j8hRTCX4QQ5MiHSX,"{'danceability': 0.53, 'energy': 0.524, 'speechiness': 0.0327, 'instrumentalness': 0, 'tempo': 150.05, 'valence': 0.514}"
96,To Be Loved By You,Parker McCollum,96,{'fall'},2pUQX4d3Cjh3umGkVz0XyI,"{'danceability': 0.475, 'energy': 0.805, 'speechiness': 0.0377, 'instrumentalness': 0, 'tempo': 145.976, 'valence': 0.488}"
97,Ain't Shit,Doja Cat,24,{'summer'},5lAnYvAIkSDNXqfo7DyFUm,"{'danceability': 0.855, 'energy': 0.488, 'speechiness': 0.208, 'instrumentalness': 0, 'tempo': 124.097, 'valence': 0.619}"
98,Life Goes On,Oliver Tree,91,{'fall'},0eu4C55hL6x29mmeAjytzC,"{'danceability': 0.7, 'energy': 0.49, 'speechiness': 0.076, 'instrumentalness': 0, 'tempo': 79.982, 'valence': 0.569}"
99,Come Through,H.E.R. Featuring Chris Brown,64,{'spring'},29he0Joo5sz2607A6ZBT6H,"{'danceability': 0.612, 'energy': 0.423, 'speechiness': 0.0508, 'instrumentalness': 0, 'tempo': 135.841, 'valence': 0.18}"
100,Nevada,YoungBoy Never Broke Again,58,{'fall'},2cEnKRR4dYBB2VA1mjlb1z,"{'danceability': 0.777, 'energy': 0.59, 'speechiness': 0.286, 'instrumentalness': 0, 'tempo': 147.978, 'valence': 0.238}"
101,Leave Before You Love Me,Marshmello X Jonas Brothers,19,{'summer'},5v65Atu3bOWYL1Tn4l2pvi,"{'danceability': 0.872, 'energy': 0.386, 'speechiness': 0.0702, 'instrumentalness': 0.552, 'tempo': 119.993, 'valence': 0.962}"
102,Deja Vu,Olivia Rodrigo,3,{'summer'},6HU7h9RYOaPRFeh0R3UeAr,"{'danceability': 0.442, 'energy': 0.612, 'speechiness': 0.112, 'instrumentalness': 5.7e-06, 'tempo': 180.917, 'valence': 0.178}"
103,Ex For A Reason,Summer Walker & JT,56,{'fall'},0UDF9t3EKxU6dvZ5ydLj17,"{'danceability': 0.425, 'energy': 0.799, 'speechiness': 0.0309, 'instrumentalness': 0.885, 'tempo': 115.645, 'valence': 0.168}"
104,Late At Night,Roddy Ricch,20,{'summer'},6kksmL4t09IgxhajuVDDxR,"{'danceability': 0.621, 'energy': 0.405, 'speechiness': 0.437, 'instrumentalness': 0, 'tempo': 98.427, 'valence': 0.141}"
105,Livin It Up,Young Thug With Post Malone & A$AP Rocky,68,{'fall'},7zjEyeBsaw9gV0jofJLfOM,"{'danceability': 0.767, 'energy': 0.313, 'speechiness': 0.0798, 'instrumentalness': 0, 'tempo': 82.582, 'valence': 0.765}"
106,Stressed,Young Thug With J. Cole & T-Shyne,69,{'fall'},0uqsdBw9KvD8jSWmfMmMAp,"{'danceability': 0.707, 'energy': 0.442, 'speechiness': 0.339, 'instrumentalness': 0, 'tempo': 81.021, 'valence': 0.344}"
107,Rich N***a Shit,Young Thug With Juice WRLD,78,{'fall'},1XRzIGsdYaLi0jHeGlcHGP,"{'danceability': 0.849, 'energy': 0.479, 'speechiness': 0.239, 'instrumentalness': 0, 'tempo': 147.215, 'valence': 0.395}"
108,Yonaguni,Bad Bunny,10,{'summer'},2JPLbjOn0wPCngEot2STUS,"{'danceability': 0.644, 'energy': 0.648, 'speechiness': 0.118, 'instrumentalness': 0, 'tempo': 179.951, 'valence': 0.44}"
109,Champagne Poetry,Drake,4,{'fall'},2HSmyk2qMN8WQjuGhaQgCk,"{'danceability': 0.423, 'energy': 0.667, 'speechiness': 0.326, 'instrumentalness': 0, 'tempo': 86.743, 'valence': 0.496}"
110,Let Somebody Go,Coldplay X Selena Gomez,91,{'fall'},4cGqn0E8JCSY9gQllQj4Mf,"{'danceability': 0.592, 'energy': 0.342, 'speechiness': 0.0339, 'instrumentalness': 0.00245, 'tempo': 130.953, 'valence': 0.155}"
111,You Time,Scotty McCreery,50,{'fall'},3yFsyy1hw7v31NBrRJX2QM,"{'danceability': 0.55, 'energy': 0.767, 'speechiness': 0.0248, 'instrumentalness': 3.07e-06, 'tempo': 104.016, 'valence': 0.601}"
112,Peepin Out The Window,Young Thug With Future & BSlime,95,{'fall'},03kozlqpm5twrblZia0m9j,"{'danceability': 0.509, 'energy': 0.51, 'speechiness': 0.425, 'instrumentalness': 0, 'tempo': 82.407, 'valence': 0.22}"
